8531d211-97d8-41bd-a444-01cbd84ba917,5ec536e3-d9a9-41ad-9ca2-0f9ded95be4a,varad,abc123,12/10/1995,617304,varadds,varadds
ae0e405a-90b1-4c37-9ae2-d332e5d9891e,4f08c131-4728-4e86-a7f4-4b4d354da09c,varad,a,12/10/1995,432,varad,varad
357ae6a5-a0d9-414e-9db1-a1703cfbe677,141de41d-691b-49e0-aa10-be3a51167a03,stan,stan,12/17/2020,543,stan,stan
88b3af4f-b951-4553-a9c2-8e166452ae5b,b0744d9d-2872-4600-b288-3a4e9da30d79,stan,stan,12/17/2020,876,stan,stan
<<<<<<< HEAD
d1191a73-be49-4bcc-92ef-42710d183d0b,239b1339-e15f-4666-9100-6224fad31a7f,varad,va,12/10/1995,1234,varad@gmail.com,Varad@123
1d395586-92b7-4259-8f59-5aa9f6c2b1bf,4332c8e7-1906-4186-be76-54e9427e2f57,Sachin,sac,08/12/1995,2342,sachin@gmail.com,Sachin@123
6ed5d16b-4673-4a0e-8067-70c2bd67dc17,437630ec-5835-4c2a-9bed-f0bad609693a,Staney,Stan,11/12/1995,12345,stan@gmail.com,Stan@123
=======
d272ff8a-fb4d-40af-8f4d-30e6a4ecd782,cb3e2713-c58d-439c-bcef-46b6c7556bbc,manish_l,12345,08/15/1996,1234567890,mr@mr,manishr
fcdb58b8-afad-4720-a7cd-fcf195aa627a,bd205725-7b7e-4ba0-90fe-bcdc2372fa12,manish_renter,1234,08/15/1996,1234567890,mr@mr1,manishr
>>>>>>> a969e5517b4893fdc68b087c73b8b0f70ee96992
